original_name,id,stochiometry,average_pLDDT,taxond_id,lineage,scientific_name,is_ancestral,nitrogenase_type,status,chain_reference,variant,clade
Nif_Sodalis_sp_159R_001.rechained.pdb,nsdb-000016,DDKK,95.45819402985073,,,Sodalis sp 159R,False,Nif,gold,"{'A': 'D', 'B': 'K', 'D': 'D', 'E': 'K'}",WT,nif-i
Nif_Candidatus_Argoarchaeum_ethanivorans_001.rechained.pdb,nsdb-000017,DDKK,94.64522446689112,2608793,Archaea; Euryarchaeota; Stenosarchaea group; Methanomicrobia; Methanosarcinales; Methanosarcinales incertae sedis; GOM Arc I cluster; Candidatus Argoarchaeum; ,Candidatus Argoarchaeum ethanivorans,False,Nif,gold,"{'A': 'D', 'B': 'K', 'D': 'D', 'E': 'K'}",WT,nif-iii
Nif_Alphaproteobacteria_bacterium_001.rechained.pdb,nsdb-000018,DDKK,95.09483549351944,1913988,Bacteria; Pseudomonadota; Alphaproteobacteria; ,Alphaproteobacteria bacterium,False,Nif,gold,"{'A': 'D', 'B': 'K', 'D': 'D', 'E': 'K'}",WT,nif-i
Nif_Bacillus_caseinilyticus_001.rechained.pdb,nsdb-000019,DDKK,94.97685353535353,,,Bacillus caseinilyticus,False,Nif,gold,"{'A': 'D', 'B': 'K', 'D': 'D', 'E': 'K'}",WT,nif-i
Nif_Methanomassiliicoccus_luminyensis_001.rechained.pdb,nsdb-000020,DDKK,94.82855991943605,1080712,Archaea; Candidatus Thermoplasmatota; Thermoplasmata; Methanomassiliicoccales; Methanomassiliicoccaceae; Methanomassiliicoccus; ,Methanomassiliicoccus luminyensis,False,Nif,gold,"{'A': 'D', 'B': 'K', 'D': 'D', 'E': 'K'}",WT,nif-ii
Nif_Youngiibacter_fragilis_001.rechained.pdb,nsdb-000021,DDKK,95.03802738336714,1408819,Bacteria; Bacillota; Clostridia; Eubacteriales; Clostridiaceae; Youngiibacter; ,Youngiibacter fragilis,False,Nif,gold,"{'A': 'D', 'B': 'K', 'D': 'D', 'E': 'K'}",WT,nif-ii
Nif_Gordonibacter_sp_28C_001.rechained.pdb,nsdb-000022,DDKK,95.33519776876268,,,Gordonibacter sp 28C,False,Nif,gold,"{'A': 'D', 'B': 'K', 'D': 'D', 'E': 'K'}",WT,nif-ii
Nif_Alteromonadaceae_bacterium_Bs31_001.rechained.pdb,nsdb-000023,DDKK,94.86110236220473,1304903,Bacteria; Pseudomonadota; Gammaproteobacteria; Alteromonadales; Alteromonadaceae; ,Alteromonadaceae bacterium Bs31,False,Nif,gold,"{'A': 'D', 'B': 'K', 'D': 'D', 'E': 'K'}",WT,nif-i
Nif_Lentisphaerae_bacterium_GWF2_50_93_001.rechained.pdb,nsdb-000024,DDKK,95.26006493506495,,,Lentisphaerae bacterium GWF2 50 93,False,Nif,gold,"{'A': 'D', 'B': 'K', 'D': 'D', 'E': 'K'}",WT,nif-ii
Nif_Anaerobacterium_chartisolvens_001.rechained.pdb,nsdb-000025,DDKK,95.14984787018255,1297424,Bacteria; Bacillota; Clostridia; Eubacteriales; Oscillospiraceae; Anaerobacterium; ,Anaerobacterium chartisolvens,False,Nif,gold,"{'A': 'D', 'B': 'K', 'D': 'D', 'E': 'K'}",WT,nif-ii
Nif_Desulfotomaculum_ferrireducens_001.rechained.pdb,nsdb-000026,DDKK,94.39276447105789,,,Desulfotomaculum ferrireducens,False,Nif,gold,"{'A': 'D', 'B': 'K', 'D': 'D', 'E': 'K'}",WT,nif-ii
Nif_Chromatiaceae_bacterium_2141TSTBD0c01a_001.rechained.pdb,nsdb-000027,DDKK,94.61251968503937,,,Chromatiaceae bacterium 2141TSTBD0c01a,False,Nif,gold,"{'A': 'D', 'B': 'K', 'D': 'D', 'E': 'K'}",WT,nif-i
Nif_Syntrophorhabdaceae_bacterium_PtaU1Bin034_001.rechained.pdb,nsdb-000028,DDKK,94.8027408142999,,,Syntrophorhabdaceae bacterium PtaU1Bin034,False,Nif,gold,"{'A': 'D', 'B': 'K', 'D': 'D', 'E': 'K'}",WT,nif-ii
Nif_Geovibrio_sp_L21-Ace-BES_001.rechained.pdb,nsdb-000029,DDKK,94.9489224572004,,,Geovibrio sp L21-Ace-BES,False,Nif,gold,"{'A': 'D', 'B': 'K', 'D': 'D', 'E': 'K'}",WT,nif-i
Nif_Planctomycetaceae_bacterium_001.rechained.pdb,nsdb-000030,DDKK,93.91645650048876,2026779,Bacteria; Planctomycetota; Planctomycetia; Planctomycetales; Planctomycetaceae; ,Planctomycetaceae bacterium,False,Nif,gold,"{'A': 'D', 'B': 'K', 'D': 'D', 'E': 'K'}",WT,nif-ii
Nif_Acetobacter_peroxydans_001.rechained.pdb,nsdb-000031,DDKK,94.48205064548164,104098,Bacteria; Pseudomonadota; Alphaproteobacteria; Rhodospirillales; Acetobacteraceae; Acetobacter; ,Acetobacter peroxydans,False,Nif,gold,"{'A': 'D', 'B': 'K', 'D': 'D', 'E': 'K'}",WT,nif-i
Nif_Methanocella_arvoryzae_001.rechained.pdb,nsdb-000032,DDKK,95.12835010060363,1175445,Archaea; Euryarchaeota; Stenosarchaea group; Methanomicrobia; Methanocellales; Methanocellaceae; Methanocella; ,Methanocella arvoryzae,False,Nif,gold,"{'A': 'D', 'B': 'K', 'D': 'D', 'E': 'K'}",WT,nif-ii
Nif_Anaerospora_hongkongensis_001.rechained.pdb,nsdb-000033,DDKK,94.5199050949051,244830,Bacteria; Bacillota; Negativicutes; Selenomonadales; Sporomusaceae; Anaerospora; ,Anaerospora hongkongensis,False,Nif,gold,"{'A': 'D', 'B': 'K', 'D': 'D', 'E': 'K'}",WT,nif-ii
Nif_Roseospirillum_parvum_001.rechained.pdb,nsdb-000034,DDKK,95.44723671013038,83401,Bacteria; Pseudomonadota; Alphaproteobacteria; Rhodospirillales; Rhodospirillaceae; Roseospirillum; ,Roseospirillum parvum,False,Nif,gold,"{'A': 'D', 'B': 'K', 'D': 'D', 'E': 'K'}",WT,nif-i
Nif_Syntrophobacter_fumaroxidans_001.rechained.pdb,nsdb-000035,DDKK,94.54594152626363,119484,Bacteria; Thermodesulfobacteriota; Syntrophobacteria; Syntrophobacterales; Syntrophobacteraceae; Syntrophobacter; ,Syntrophobacter fumaroxidans,False,Nif,gold,"{'A': 'D', 'B': 'K', 'D': 'D', 'E': 'K'}",WT,nif-ii
Nif_Blastochloris_sp_GI_001.rechained.pdb,nsdb-000036,DDKK,94.50754203758655,,,Blastochloris sp GI,False,Nif,gold,"{'A': 'D', 'B': 'K', 'D': 'D', 'E': 'K'}",WT,nif-i
Nif_Methylomonas_koyamae_001.rechained.pdb,nsdb-000037,DDKK,95.43613188976379,702114,Bacteria; Pseudomonadota; Gammaproteobacteria; Methylococcales; Methylococcaceae; Methylomonas; ,Methylomonas koyamae,False,Nif,gold,"{'A': 'D', 'B': 'K', 'D': 'D', 'E': 'K'}",WT,nif-i
Nif_archaeon_BMS3Bbin15_001.rechained.pdb,nsdb-000038,DDKK,93.1521343445287,2005738,Archaea; ,archaeon BMS3Bbin15,False,Nif,gold,"{'A': 'D', 'B': 'K', 'D': 'D', 'E': 'K'}",WT,nif-iii
Nif_Desulfobulbaceae_bacterium_DB1_001.rechained.pdb,nsdb-000039,DDKK,94.34577268195413,1920419,Bacteria; Thermodesulfobacteriota; Desulfobulbia; Desulfobulbales; Desulfobulbaceae; ,Desulfobulbaceae bacterium DB1,False,Nif,gold,"{'A': 'D', 'B': 'K', 'D': 'D', 'E': 'K'}",WT,nif-ii
Nif_Thiorhodococcus_drewsii_001.rechained.pdb,nsdb-000040,DDKK,95.22212881022615,210408,Bacteria; Pseudomonadota; Gammaproteobacteria; Chromatiales; Chromatiaceae; Thiorhodococcus; ,Thiorhodococcus drewsii,False,Nif,gold,"{'A': 'D', 'B': 'K', 'D': 'D', 'E': 'K'}",WT,nif-i
Nif_Propionivibrio_dicarboxylicus_001.rechained.pdb,nsdb-000041,DDKK,95.40272682445759,83767,Bacteria; Pseudomonadota; Betaproteobacteria; Rhodocyclales; Rhodocyclaceae; Propionivibrio; ,Propionivibrio dicarboxylicus,False,Nif,gold,"{'A': 'D', 'B': 'K', 'D': 'D', 'E': 'K'}",WT,nif-i
Nif_delta_proteobacterium_NaphS2_001.rechained.pdb,nsdb-000042,DDKK,94.45271921182267,88274,Bacteria; Deltaproteobacteria; ,delta proteobacterium NaphS2,False,Nif,gold,"{'A': 'D', 'B': 'K', 'D': 'D', 'E': 'K'}",WT,nif-ii
Nif_Hydrogenophilales_bacterium_16-64-40_001.rechained.pdb,nsdb-000043,DDKK,95.39621608040201,1970521,Bacteria; Pseudomonadota; Hydrogenophilia; Hydrogenophilales; ,Hydrogenophilales bacterium 16-64-40,False,Nif,gold,"{'A': 'D', 'B': 'K', 'D': 'D', 'E': 'K'}",WT,nif-i
Nif_magneto-ovoid_bacterium_MO-1_001.rechained.pdb,nsdb-000044,DDKK,95.80689243027888,,,magneto-ovoid bacterium MO-1,False,Nif,gold,"{'A': 'D', 'B': 'K', 'D': 'D', 'E': 'K'}",WT,nif-i
Nif_Candidatus_Lambdaproteobacteria_bacterium_RIFOXYD2_FULL_50_16_001.rechained.pdb,nsdb-000045,DDKK,93.91564759036143,,,Candidatus Lambdaproteobacteria bacterium RIFOXYD2 FULL 50 16,False,Nif,gold,"{'A': 'D', 'B': 'K', 'D': 'D', 'E': 'K'}",WT,nif-i
Nif_Desulfofustis_glycolicus_001.rechained.pdb,nsdb-000046,DDKK,94.26265469061876,51195,Bacteria; Thermodesulfobacteriota; Desulfobulbia; Desulfobulbales; Desulfocapsaceae; Desulfofustis; ,Desulfofustis glycolicus,False,Nif,gold,"{'A': 'D', 'B': 'K', 'D': 'D', 'E': 'K'}",WT,nif-ii
Nif_Desulfuribacillus_alkaliarsenatis_001.rechained.pdb,nsdb-000047,DDKK,95.04701701701701,766136,Bacteria; Bacillota; Desulfuribacillia; Desulfuribacillales; Desulfuribacillaceae; Desulfuribacillus; ,Desulfuribacillus alkaliarsenatis,False,Nif,gold,"{'A': 'D', 'B': 'K', 'D': 'D', 'E': 'K'}",WT,nif-ii
Nif_Desulfocucumis_palustris_001.rechained.pdb,nsdb-000048,DDKK,94.39761171797419,1898651,Bacteria; Bacillota; Clostridia; Eubacteriales; Desulfocucumaceae; Desulfocucumis; ,Desulfocucumis palustris,False,Nif,gold,"{'A': 'D', 'B': 'K', 'D': 'D', 'E': 'K'}",WT,nif-ii
Nif_Roseofilum_reptotaenium_AO1-A_001.rechained.pdb,nsdb-000049,DDKK,95.4689412360689,1925591,Bacteria; Cyanobacteriota; Cyanophyceae; Desertifilales; Desertifilaceae; Roseofilum; ,Roseofilum reptotaenium AO1-A,False,Nif,gold,"{'A': 'D', 'B': 'K', 'D': 'D', 'E': 'K'}",WT,nif-ii
Nif_Petrocella_atlantisensis_001.rechained.pdb,nsdb-000050,DDKK,95.02717171717171,2173034,Bacteria; Bacillota; Clostridia; Lachnospirales; Vallitaleaceae; Petrocella; ,Petrocella atlantisensis,False,Nif,gold,"{'A': 'D', 'B': 'K', 'D': 'D', 'E': 'K'}",WT,nif-ii
Nif_Prevotella_oryzae_001.rechained.pdb,nsdb-000051,DDKK,93.93057942057943,,,Prevotella oryzae,False,Nif,gold,"{'A': 'D', 'B': 'K', 'D': 'D', 'E': 'K'}",WT,nif-ii
Nif_Clostridiales_bacterium_DRI-13_001.rechained.pdb,nsdb-000052,DDKK,95.1075782038345,,,Clostridiales bacterium DRI-13,False,Nif,gold,"{'A': 'D', 'B': 'K', 'D': 'D', 'E': 'K'}",WT,nif-ii
Nif_Candidatus_Achromatium_palustre_001.rechained.pdb,nsdb-000053,DDKK,93.62495078740157,1662188,Bacteria; Pseudomonadota; Gammaproteobacteria; Thiotrichales; Thiotrichaceae; Achromatium; ,Candidatus Achromatium palustre,False,Nif,gold,"{'A': 'D', 'B': 'K', 'D': 'D', 'E': 'K'}",WT,nif-ii
Nif_Peptococcaceae_bacterium_BRH_c4a_001.rechained.pdb,nsdb-000054,DDKK,94.54391675025076,,,Peptococcaceae bacterium BRH c4a,False,Nif,gold,"{'A': 'D', 'B': 'K', 'D': 'D', 'E': 'K'}",WT,nif-ii
Nif_Candidatus_Competibacteraceae_bacterium_001.rechained.pdb,nsdb-000055,DDKK,94.98196729435085,2053538,Bacteria; Pseudomonadota; Gammaproteobacteria; Candidatus Competibacteraceae; ,Candidatus Competibacteraceae bacterium,False,Nif,gold,"{'A': 'D', 'B': 'K', 'D': 'D', 'E': 'K'}",WT,nif-i
Nif_Planctomycetes_bacterium_V7_001.rechained.pdb,nsdb-000056,DDKK,93.63398826979473,,,Planctomycetes bacterium V7,False,Nif,gold,"{'A': 'D', 'B': 'K', 'D': 'D', 'E': 'K'}",WT,nif-ii
Nif_Gracilibacter_sp_BRH_c7a_001.rechained.pdb,nsdb-000057,DDKK,95.10229019211326,,,Gracilibacter sp BRH c7a,False,Nif,gold,"{'A': 'D', 'B': 'K', 'D': 'D', 'E': 'K'}",WT,nif-ii
Nif_Methyloglobulus_morosus_001.rechained.pdb,nsdb-000058,DDKK,95.04718407960199,1410681,Bacteria; Pseudomonadota; Gammaproteobacteria; Methylococcales; Methylococcaceae; Methyloglobulus; ,Methyloglobulus morosus,False,Nif,gold,"{'A': 'D', 'B': 'K', 'D': 'D', 'E': 'K'}",WT,nif-i
Nif_uncultured_archaeon_001.rechained.pdb,nsdb-000059,DDKK,93.88530286343614,115547,Archaea; environmental samples; ,uncultured archaeon,False,Nif,gold,"{'A': 'D', 'B': 'K', 'D': 'D', 'E': 'K'}",WT,nif-iii
Nif_Massilibacillus_massiliensis_001.rechained.pdb,nsdb-000060,DDKK,95.07419207317074,1806837,Bacteria; Bacillota; Negativicutes; Veillonellales; Veillonellaceae; Massilibacillus; ,Massilibacillus massiliensis,False,Nif,gold,"{'A': 'D', 'B': 'K', 'D': 'D', 'E': 'K'}",WT,nif-ii
Nif_Caldicellulosiruptor_saccharolyticus_001.rechained.pdb,nsdb-000061,DDKK,94.2907908992416,44001,Bacteria; Bacillota; Bacillota incertae sedis; Caldicellulosiruptorales; Caldicellulosiruptoraceae; Caldicellulosiruptor; ,Caldicellulosiruptor saccharolyticus,False,Nif,gold,"{'A': 'D', 'B': 'K', 'D': 'D', 'E': 'K'}",WT,nif-iii
Nif_Magnetovibrio_blakemorei_001.rechained.pdb,nsdb-000062,DDKK,95.0233234714004,28181,Bacteria; Pseudomonadota; Alphaproteobacteria; Rhodospirillales; Magnetovibrionaceae; Magnetovibrio; ,Magnetovibrio blakemorei,False,Nif,gold,"{'A': 'D', 'B': 'K', 'D': 'D', 'E': 'K'}",WT,nif-i
Nif_Planctomycetes_bacterium_Q31b_001.rechained.pdb,nsdb-000063,DDKK,94.8738078470825,,,Planctomycetes bacterium Q31b,False,Nif,gold,"{'A': 'D', 'B': 'K', 'D': 'D', 'E': 'K'}",WT,nif-ii
Nif_Spirochaeta_thermophila_001.rechained.pdb,nsdb-000064,DDKK,93.90886811023623,154,Bacteria; Spirochaetota; Spirochaetia; Spirochaetales; Spirochaetaceae; Spirochaeta; ,Spirochaeta thermophila,False,Nif,gold,"{'A': 'D', 'B': 'K', 'D': 'D', 'E': 'K'}",WT,nif-ii
Nif_Desulfurobacterium_atlanticum_001.rechained.pdb,nsdb-000065,DDKK,95.3352929085303,240169,Bacteria; Aquificota; Aquificia; Desulfurobacteriales; Desulfurobacteriaceae; Desulfurobacterium; ,Desulfurobacterium atlanticum,False,Nif,gold,"{'A': 'D', 'B': 'K', 'D': 'D', 'E': 'K'}",WT,nif-i
Nif_Pseudobacteroides_cellulosolvens_001.rechained.pdb,nsdb-000066,DDKK,95.59318413021364,35825,Bacteria; Bacillota; Clostridia; Eubacteriales; Oscillospiraceae; Pseudobacteroides; ,Pseudobacteroides cellulosolvens,False,Nif,gold,"{'A': 'D', 'B': 'K', 'D': 'D', 'E': 'K'}",WT,nif-ii
Nif_Paludibacter_propionicigenes_001.rechained.pdb,nsdb-000067,DDKK,94.18561316051844,185300,Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Paludibacteraceae; Paludibacter; ,Paludibacter propionicigenes,False,Nif,gold,"{'A': 'D', 'B': 'K', 'D': 'D', 'E': 'K'}",WT,nif-ii
Nif_Rhodocyclaceae_bacterium_001.rechained.pdb,nsdb-000068,DDKK,95.28706027667984,1898103,Bacteria; Pseudomonadota; Betaproteobacteria; Rhodocyclales; Rhodocyclaceae; ,Rhodocyclaceae bacterium,False,Nif,gold,"{'A': 'D', 'B': 'K', 'D': 'D', 'E': 'K'}",WT,nif-i
Nif_Desulfurispora_thermophila_001.rechained.pdb,nsdb-000069,DDKK,94.85237613751264,265470,Bacteria; Bacillota; Clostridia; Eubacteriales; Desulfurisporaceae; Desulfurispora; ,Desulfurispora thermophila,False,Nif,gold,"{'A': 'D', 'B': 'K', 'D': 'D', 'E': 'K'}",WT,nif-ii
Nif_Rhodopila_globiformis_001.rechained.pdb,nsdb-000070,DDKK,95.10608349900596,1071,Bacteria; Pseudomonadota; Alphaproteobacteria; Rhodospirillales; Acetobacteraceae; Rhodopila; ,Rhodopila globiformis,False,Nif,gold,"{'A': 'D', 'B': 'K', 'D': 'D', 'E': 'K'}",WT,nif-i
Nif_Planktothrix_tepida_001.rechained.pdb,nsdb-000071,DDKK,94.26850293542074,1678309,Bacteria; Cyanobacteriota; Cyanophyceae; Oscillatoriophycideae; Oscillatoriales; Microcoleaceae; Planktothrix; ,Planktothrix tepida,False,Nif,gold,"{'A': 'D', 'B': 'K', 'D': 'D', 'E': 'K'}",WT,nif-i
Nif_Peptococcaceae_bacterium_BICA1-7_001.rechained.pdb,nsdb-000072,DDKK,94.3192627883651,1531961,Bacteria; Bacillota; Clostridia; Eubacteriales; Peptococcaceae; ,Peptococcaceae bacterium BICA1-7,False,Nif,gold,"{'A': 'D', 'B': 'K', 'D': 'D', 'E': 'K'}",WT,nif-ii
Nif_Methanobacterium_paludis_001.rechained.pdb,nsdb-000073,DDKK,93.69254973821991,868131,Archaea; Euryarchaeota; Methanomada group; Methanobacteria; Methanobacteriales; Methanobacteriaceae; Methanobacterium; ,Methanobacterium paludis,False,Nif,gold,"{'A': 'D', 'B': 'K', 'D': 'D', 'E': 'K'}",WT,nif-iii
Nif_Hungateiclostridium_cellulolyticum_001.rechained.pdb,nsdb-000074,DDKK,94.93328774062816,,,Hungateiclostridium cellulolyticum,False,Nif,gold,"{'A': 'D', 'B': 'K', 'D': 'D', 'E': 'K'}",WT,nif-ii
Nif_Methanomicrobiales_archaeon_HGW-Methanomicrobiales-1_001.rechained.pdb,nsdb-000075,DDKK,94.46454317269077,2013817,Archaea; Euryarchaeota; Stenosarchaea group; Methanomicrobia; Methanomicrobiales; ,Methanomicrobiales archaeon HGW-Methanomicrobiales-1,False,Nif,gold,"{'A': 'D', 'B': 'K', 'D': 'D', 'E': 'K'}",WT,nif-ii
Nif_Desulfospira_joergensenii_001.rechained.pdb,nsdb-000076,DDKK,94.47745029821074,53329,Bacteria; Thermodesulfobacteriota; Desulfobacteria; Desulfobacterales; Desulfobacteraceae; Desulfospira; ,Desulfospira joergensenii,False,Nif,gold,"{'A': 'D', 'B': 'K', 'D': 'D', 'E': 'K'}",WT,nif-ii
Nif_Candidatus_Methanoperedens_sp_BLZ2_001.rechained.pdb,nsdb-000077,DDKK,94.48456092206366,,,Candidatus Methanoperedens sp BLZ2,False,Nif,gold,"{'A': 'D', 'B': 'K', 'D': 'D', 'E': 'K'}",WT,nif-iii
Nif_bacterium_BMS3Abin13_001.rechained.pdb,nsdb-000078,DDKK,94.36808882235529,2005721,Bacteria; ,bacterium BMS3Abin13,False,Nif,gold,"{'A': 'D', 'B': 'K', 'D': 'D', 'E': 'K'}",WT,nif-ii
Nif_Candidatus_Margulisbacteria_bacterium_GWD2_39_127_001.rechained.pdb,nsdb-000079,DDKK,95.17428714859437,,,Candidatus Margulisbacteria bacterium GWD2 39 127,False,Nif,gold,"{'A': 'D', 'B': 'K', 'D': 'D', 'E': 'K'}",WT,nif-ii
Nif_Deltaproteobacteria_bacterium_HGW-Deltaproteobacteria-4_001.rechained.pdb,nsdb-000080,DDKK,95.42567525773195,2013754,Bacteria; Deltaproteobacteria; ,Deltaproteobacteria bacterium HGW-Deltaproteobacteria-4,False,Nif,gold,"{'A': 'D', 'B': 'K', 'D': 'D', 'E': 'K'}",WT,nif-i
Nif_Euhalothece_natronophila_001.rechained.pdb,nsdb-000081,DDKK,93.89944936086528,577489,Bacteria; Cyanobacteriota; Cyanophyceae; Oscillatoriophycideae; Chroococcales; Halothecacae; Halothece cluster; Euhalothece; ,Euhalothece natronophila,False,Nif,gold,"{'A': 'D', 'B': 'K', 'D': 'D', 'E': 'K'}",WT,nif-i
Nif_Fischerella_sp_PCC_9605_001.rechained.pdb,nsdb-000082,DDKK,94.65024801587303,,,Fischerella sp PCC 9605,False,Nif,gold,"{'A': 'D', 'B': 'K', 'D': 'D', 'E': 'K'}",WT,nif-i
Nif_Methanothermococcus_okinawensis_001.rechained.pdb,nsdb-000083,DDKK,94.531955602537,155863,Archaea; Euryarchaeota; Methanomada group; Methanococci; Methanococcales; Methanococcaceae; Methanothermococcus; ,Methanothermococcus okinawensis,False,Nif,gold,"{'A': 'D', 'B': 'K', 'D': 'D', 'E': 'K'}",WT,nif-iii
Nif_Bacteroidales_bacterium_Barb6XT_001.rechained.pdb,nsdb-000084,DDKK,94.70864851485149,1633202,Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; ,Bacteroidales bacterium Barb6XT,False,Nif,gold,"{'A': 'D', 'B': 'K', 'D': 'D', 'E': 'K'}",WT,nif-ii
Nif_Rhodobacteraceae_bacterium_001.rechained.pdb,nsdb-000085,DDKK,95.32364758144128,,,Rhodobacteraceae bacterium,False,Nif,gold,"{'A': 'D', 'B': 'K', 'D': 'D', 'E': 'K'}",WT,nif-i
Nif_bacterium_BMS3Abin10_001.rechained.pdb,nsdb-000086,DDKK,94.67337475149105,2005718,Bacteria; ,bacterium BMS3Abin10,False,Nif,gold,"{'A': 'D', 'B': 'K', 'D': 'D', 'E': 'K'}",WT,nif-ii
Nif_Polaromonas_naphthalenivorans_001.rechained.pdb,nsdb-000087,DDKK,95.19530815109346,216465,Bacteria; Pseudomonadota; Betaproteobacteria; Burkholderiales; Comamonadaceae; Polaromonas; ,Polaromonas naphthalenivorans,False,Nif,gold,"{'A': 'D', 'B': 'K', 'D': 'D', 'E': 'K'}",WT,nif-i
Nif_Kiritimatiellales_bacterium_001.rechained.pdb,nsdb-000088,DDKK,94.60000000000001,2202731,Bacteria; Kiritimatiellota; Kiritimatiellia; Kiritimatiellales; ,Kiritimatiellales bacterium,False,Nif,gold,"{'A': 'D', 'B': 'K', 'D': 'D', 'E': 'K'}",WT,nif-ii
Nif_Pseudoclostridium_thermosuccinogenes_001.rechained.pdb,nsdb-000089,DDKK,94.62051915322581,,,Pseudoclostridium thermosuccinogenes,False,Nif,gold,"{'A': 'D', 'B': 'K', 'D': 'D', 'E': 'K'}",WT,nif-ii
